EVENT NAME,core2,core3,core4,core20,core21
E1,680.91,785.7,653.51,1026.4,1015.52
E2,777.54,897.31,835.5,1234.94,1201
E3,798.76,920.29,860.48,1277.92,1248.52
E4,808.7,939.14,888.06,1301.9,1275.21
E6,888.17,1068.19,1058.63,1494.49,1459.11
TussenE6enE7_2A,924.74,1133.01,1154.88,1567.95,1528.58
TussenE6enE7_1,983.44,1226.06,1267.26,1685.51,1668.86
E7,1038.98,1295.18,1365.92,1780.65,1766.29
TussenE7enE8,1059.3,1323.64,1394.7,1813.77,1789.16
E8,1090.91,1369.72,1467.44,1893.09,1871.18
E10,1272.42,1642.11,1760.92,2167.51,2127.28
E11,1379.91,1819.73,1987.85,2380.96,2665.38
E12,1479.42,1954.7,2125.3,2508.76,2765.33
E13,1740.7,2299.37,2549.58,2969.63,3207.63
E14,2185.35,2918.34,3284.42,3686.55,3968.99
E15,2257.42,3076.14,3395.23,3803.85,4091.12
E16,2296.4,3114.7,3444.02,3861.75,4143.14
E17,2440.54,3336.25,3676.06,4098.47,4356.65
TussenE17enE18,2477.25,3406.62,3726.73,4150.14,4396
E18,2499.01,3459.58,3753.67,4181.26,4424.95
E19,2584.67,3591.07,3902.23,4312.5,4538.94
E20,2702.97,3747.25,4072.52,4455.46,4676.91
E22,2810.85,3877.4,4284.42,4660.21,4891.77
E23,3028.42,4117.05,4613.64,4954.25,5231.49
E24,3286.58,4373.76,4998.35,5337.3,5664.27
E25,3464.77,4544.93,5237.95,5586.86,5977.57
E26,3919.88,5042.33,5866.47,6306.52,6646.76
E27,4347.14,5558.03,6526.06,6931.86,7270.05
E28,4388.93,5622.53,6611.91,7020.5,7357.05
E29,4561,5835.37,6861.6,7258.57,7548.36
E30,4573.23,5875.35,6905.1,7304.92,7592.09
E31,4616.98,5945.17,6969.9,7364.66,7642.2
E32,4653.98,6045.24,7073.37,7472.99,7732.39
TussenE32enE33,4734.19,6174.26,7210.09,7612.78,7853.55
E33,4754.1,6208.56,7233.55,7634.53,7874.05
E34,4947.05,6482.74,7543.02,7929.22,8141.43
E35,5063.1,6646.44,7705.81,8091.43,8319.08
E36,5270.52,6902.85,7999.64,8409.23,
E37,5449.23,7185.45,8271.84,,
E38,5666.87,7408,8537.2,,
E39,5988.5,7726.38,8947.66,,
E40,6171.77,7907.85,9202.61,,
E41,6321.6,8044.98,9409.2,,
E42,6473.72,8200.55,9603.69,,
E43,6481.97,8233.55,9618.58,,
E44,,8251.25,9690.77,,
E45,6730.77,8584.83,10123.93,,
E46,6894.8,8787.17,10351.78,,
E47,6925.04,8844.15,10405.38,,
E48,7159.18,9120.18,10758.07,,
E49,7446.55,9524.5,11180.5,,
E49B,7524.58,9628.4,11285.44,,
E50,7541.3,9672.85,11314.75,,
E51,7669.13,9855.3,11480.58,,
E52,7746.03,10020.97,11611.16,,
E53,7788.13,10123.49,11680.85,,
E55,8208.39,10603.45,12183.74,,
Onder55_2,8383.14,10811.91,12459.92,,
BovenE56,8533.94,10958.47,12681.53,,
E56,8596.23,11039.73,12779.07,,
E57,9010.36,11447.38,13263.17,,
E58,9166.85,11614.56,13447.41,,
E59,9330.5,11833.88,13695.17,,
E60,9393.54,11906.48,13733.92,,
E61,9500.4,12068.55,13930.15,,
E62,9827.23,12509.07,14403.4,,
E63,10161.99,12938.59,14947.5,,
E64,10731.3,13650.82,15721.55,,
E65,10955.25,13948.72,16102.13,,
TussenE65enE66,11044.29,14071.61,16267.7,,
E66,11064.52,14134.76,16316.46,,
E67,11187.74,14308.06,16576.5,,
E68,11264.19,14462.16,,,
E69,11318.15,14530.69,,,
E70,11366.27,14640.87,,,
E71,11402.24,14711.89,,,
E73,11541.68,15024.73,,,
E74,11784.38,,,,
E74B(tussen74en 75),11881.28,,,,
E75,11980.45,,,,
E77,12149,,,,
E78,12431,,,,
onder78,12477,,,,
E79,12777,,,,
E80,13067,,,,
E81,13183,,,,
E82B,13465,,,,
E83,13653,,,,
E84,13795,,,,
E85,14016,,,,
E86,14056,,,,
E87,14312,,,,
E88,14654,,,,
E90,14816,,,,
E91,14882,,,,
E94a,15274,,,,
