Event,Site 2 ,Site 3,Site 4,Site 20 ,Site 21 ,,Confidence
0,22,22,22,22,22,1,100
1,34,33,33,32,33,2,95
2,57,53,52,51,48,3,75
6,74,80,73,72,72,4,75
8,103,113,105,105,101,5,95
11,145,156,149,150,144,6,95
12,158,168,160,161,152,7,95
13,197,209,200,201,194,8,75
14,264,280,269,271,268,9,75
15,273,289,278,282,279,10,75
16,275,291,281,285,282,11,95
20,333,355,342,344,342,12,95
21,351,374,362,363,363,13,75
25,481,503,497,502,502,14,95
26,577,600,591,598,598,15,75
27,658,685,678,684,680,16,95
30,703,737,726,733,727,17,75
32,,,,755,749,18,95
34,770,820,805,818,809,19,75
36,,897,887,902,,20,95
38,,977,968,,,21,75
39,980,1050,1039,,,22,75
40,1018,1089,1076,,,23,95
41,1041,1111,1098,,,24,95
42,1065,1131,1121,,,25,95
46,1169,1240,1229,,,26,95
47,1172,1243,1232,,,27,95
49,1288,1359,1346,,,28,95
52,1347,1421,1404,,,29,75
54,1373,1456,1432,,,30,95
55,1448,1521,1490,,,31,95
56,1535,1607,1572,,,32,75
58,1657,1728,1692,,,33,95
60,1703,1765,1731,,,34,75
61,1735,1802,1768,,,35,75
62,1816,1889,1832,,,36,95
63,1897,1964,1913,,,37,75
64,2048,2112,2059,,,38,75
65,2114,2177,2121,,,39,95
73,2239,,,,,,95
