AGE BP,Site 2,Site 3 ,Site 4,Site 20 ,Site 21
79,4.06,9.26,8.79,3.91,6.44
80,4.52,10.58,2.86,5.72,10
81,3.61,10.58,2.73,8.13,8.64
82,4.97,8.82,6.06,7.68,15.25
83,5.87,7.06,7.26,5.87,11.52
84,7.68,5.29,6.33,9.03,11.69
85,6.77,13.23,9.99,9.18,7.12
86,4.52,2.71,16.39,15.96,18.47
87,5.42,4.07,14.79,4.97,28.13
88,11.29,6.32,4.6,12.49,11.52
89,4.97,7.23,8.13,12.79,19.99
90,10.39,3.61,24.45,8.43,14.57
91,3.61,7.68,6.66,4.82,8.64
92,6.77,8.13,7.33,9.33,8.98
93,10.39,6.32,16.52,18.06,10
94,6.77,12.65,6.26,14.75,23.72
95,4.97,16.26,7.59,7.38,6.27
96,7.68,18.07,8.19,10.24,16.6
97,5.87,4.97,8.59,9.78,19.82
98,14.45,3.61,8.73,20.77,8.9
99,7.68,6.32,28.78,8.58,53.3
100,3.16,11.29,10.13,24.54,8.81
101,20.77,4.07,18.65,17.31,4.57
102,6.32,4.97,22.32,11.59,2.2
103,4.06,5.42,50.43,50.43,3.73
104,4.06,4.07,10.19,5.27,4.41
105,4.97,3.16,6.2,3.16,2.71
106,2.71,8.13,4.8,5.87,5.93
107,7.68,13.1,7.13,7.23,12.2
108,7.22,8.58,7.19,13.1,7.45
109,5.87,19.88,9.93,9.63,2.71
110,3.16,12.65,9.49,9.18,6.95
111,4.06,33.43,7.39,6.17,12.03
112,7.22,11.75,5,11.89,6.44
113,6.77,4.52,6.99,14.15,10.5
114,2.71,3.61,16.59,9.93,16.1
115,4.52,4.52,12.99,9.63,8.3
116,11.74,5.42,8.99,18.52,9.15
117,6.32,13.1,22.58,7.53,5.76
118,7.22,8.13,9.29,10.84,9.83
119,3.61,5.87,9.99,4.22,28.22
120,4.97,4.07,3.3,7.98,7.45
121,7.22,7.23,7.39,22.13,9.49
122,4.06,12.65,26.48,9.48,6.61
123,6.32,9.03,11.19,10.54,15.93
124,7.68,10.84,10.59,7.38,16.43
125,6.77,18.07,6.79,15.81,9.49
126,9.48,6.78,15.49,12.49,8.47
127,10.84,7.23,14.49,10.39,14.23
128,6.32,4.07,9.59,13.1,13.38
129,6.32,7.23,10.24,18.82,6.58
130,11.29,16.71,23.18,14.75,9.21
131,8.13,5.42,14.55,7.38,3.95
132,5.87,10.84,7.55,6.62,17.53
133,8.58,11.75,7.55,4.67,7.01
134,8.22,9.49,5.93,5.72,9.64
135,5.48,11.75,6.47,8.58,9.64
136,6.85,8.58,12.94,4.21,6.14
137,8.22,9.03,8.09,7.08,7.89
138,4.11,13.1,11.32,5.87,5.7
139,8.67,31.62,5.39,7.53,5.26
140,5.48,9.49,8.09,5.12,8.77
141,7.3,5.87,6.47,7.23,10.08
142,5.48,7.68,8.62,7.08,417.32
143,25.11,9.03,7.55,8.13,7.45
144,2.74,8.58,8.09,8.43,5.7
145,4.11,9.03,10.24,7.23,8.33
146,13.24,4.97,10.24,11.14,12.71
147,9.13,3.16,87.86,5.72,15.34
148,4.56,5.87,6.47,80.98,9.64
149,8.67,4.97,8.62,8.58,16.66
150,5.02,12.65,4.85,14.45,24.11
151,6.39,9.03,10.24,6.62,16.22
152,5.48,9.03,8.62,11.74,15.34
153,7.76,7.23,8.62,8.58,10.96
154,8.22,71.01,7.55,9.33,9.21
155,8.67,3.07,15.09,8.58,11.4
156,15.52,5.42,11.32,13.55,6.58
157,12.33,9.03,17.79,8.73,5.7
158,9.55,4.52,38.27,12.49,7.01
159,7.8,5.87,15.63,25.14,18.41
160,7.76,6.78,19.94,14.3,8.33
161,5.02,7.23,10.78,17.16,12.71
162,5.93,7.23,7.55,10.54,5.26
163,5.93,9.49,8.62,8.13,7.89
164,7.3,8.58,6.47,9.33,10.08
165,5.93,14.91,5.93,8.13,7.01
166,7.3,52.85,8.62,6.17,7.89
167,5.93,16.71,11.86,7.53,14.47
168,5.02,10.84,15.63,12.95,14.03
169,1.83,13.1,7.55,10.09,14.9
170,4.56,6.32,9.7,7.53,15.34
171,3.65,4.07,7.55,11.74,10.96
172,4.56,5.87,3.77,10.99,8.33
173,5.48,3.16,8.62,6.62,10.08
174,5.48,4.07,12.4,6.92,5.26
175,6.39,5.42,11.86,14,10.52
176,7.76,12.2,7.55,12.19,16.22
177,7.76,11.75,11.86,11.74,4.38
178,7.3,5.42,14.01,19.42,3.07
179,5.02,5.42,17.79,12.79,7.45
180,7.76,2.71,4.31,16.71,8.77
181,9.59,6.32,12.94,6.77,22.79
182,5.48,3.61,16.17,13.85,9.21
183,3.65,5.42,5.93,12.74,15.78
184,5.02,6.32,4.31,5.46,20.16
185,3.2,6.78,4.85,5.46,4.38
186,9.59,9.49,4.31,8.65,3.51
187,6.85,13.55,7.55,6.83,6.58
188,10.96,9.94,14.55,8.65,4.38
189,11.87,11.75,11.86,13.65,4.82
190,3.63,6.78,12.94,14.56,9.21
191,4.53,10.84,19.4,15.93,5.7
192,8.61,10.39,7.01,19.57,32
193,5.44,5.87,6.47,7.74,5.26
194,5.89,5.42,8.62,8.65,4.82
195,13.6,5.87,8.62,15.02,4.82
196,4.99,6.78,8.09,6.37,6.14
197,5.89,8.13,16.65,7.28,9.99
198,5.44,8.58,26,9.56,5.9
199,6.35,7.68,6.41,39.14,12.26
200,4.08,9.49,7.01,5.92,17.71
201,4.53,13.1,6.47,8.19,7.72
202,8.16,5.42,9.7,8.65,13.17
203,5.89,6.32,5.93,11.38,12.26
204,8.16,11.75,5.93,5.92,8.63
205,10.88,6.32,19.4,5.46,9.54
206,6.35,6.78,5.93,8.19,10.9
207,4.53,28.91,11.86,3.64,9.99
208,6.8,6.32,18.87,11.38,12.26
209,6.35,6.32,12.4,21.85,5.9
210,9.52,6.32,11.32,8.65,10.9
211,4.08,8.58,8.09,8.65,17.71
212,7.71,5.42,10.78,10.01,9.54
213,10.43,5.42,23.18,12.74,9.08
214,4.99,9.94,7.01,10.92,8.18
215,8.16,7.23,10.24,3.19,14.99
216,5.44,13.55,24.8,8.65,8.63
217,6.8,14.46,8.09,29.58,9.54
218,4.99,11.29,10.78,8.19,15.9
219,4.99,6.78,8.09,10.92,11.81
220,6.35,8.13,15.63,5.46,8.63
221,7.25,11.29,7.01,11.83,7.72
222,4.99,11.75,9.7,9.56,8.63
223,5.44,4.97,11.86,10.47,11.36
224,6.35,9.49,14.55,12.29,5.9
225,5.89,15.36,8.09,11.83,9.08
226,4.99,4.06,5.93,7.28,11.81
227,5.44,7.18,10.24,7.74,16.81
228,7.25,11.27,15.09,8.19,5.9
229,8.16,6.16,5.39,10.47,7.27
230,4.53,10.86,5.39,6.83,5.45
231,6.35,7.78,11.32,7.28,9.54
232,5.44,8.04,17.79,14.11,5.45
233,9.52,9.06,5.93,15.93,6.36
234,9.52,12.33,4.85,7.74,11.36
235,7.25,6.69,4.85,6.83,16.81
236,4.08,6.73,14.55,5.92,9.54
237,6.35,6.73,16.71,11.38,6.36
238,4.99,8.79,18.87,5.01,8.18
239,3.17,4.81,3.77,18.66,7.72
240,4.08,7.18,7.01,11.83,4.54
241,4.53,12.74,8.09,6.94,6.36
242,11.78,16.99,5.93,6.18,18.17
243,4.53,6.88,5.93,7.39,4.09
244,7.71,6.09,19.4,4.22,4.54
245,6.8,9.7,10.78,9.35,19.08
246,5.89,13.94,10.23,24.12,5
247,6.8,7.07,6.16,10.03,14.08
248,5.89,8.64,11.86,10.63,9.99
249,4.99,14.84,9.6,5.96,15.9
250,4.53,6.28,9.87,11.16,12.72
251,4.08,10.41,8.78,7.46,9.08
252,7.25,8.61,9.23,14.4,7.27
253,9.97,6.31,10.32,11.53,7.72
254,11.33,7.63,4.8,9.8,11.36
255,6.8,11.84,6.7,8.14,8.18
256,7.71,18.38,10.14,8.29,13.63
257,5.89,5.76,20.1,10.03,15.9
258,11.78,10.96,12.58,5.58,12.21
259,8.16,5.88,8.15,14.32,9.05
260,6.35,4.75,13.49,15,8.59
261,7.25,4.59,5.98,6.71,7.69
262,11.78,2.41,6.61,7.77,11.76
263,12.69,2.26,9.78,6.26,11.76
264,4.99,1.51,14.67,7.61,16.75
265,4.99,4.82,10.77,8.9,13.1
266,7.25,8.89,13.13,8.67,29.4
267,6.8,12.05,24.99,17.42,7.69
268,5.89,9.94,17.93,15.75,9.05
269,6.8,5.12,5.43,28.57,5.43
270,9.97,6.78,7.6,8.07,6.33
271,12.69,4.75,9.78,5.05,8.59
272,5.89,5.95,11.41,5.8,13.12
273,33.09,5.35,6.52,6.11,9.05
274,4.99,11.98,6.52,7.46,7.24
275,4.99,12.05,9.78,11.61,9.5
276,3.63,10.39,35.85,6.33,14.93
277,4.53,11.52,4.25,7.84,31.21
278,6.35,24.63,3.35,9.12,4.98
279,4.53,12.13,41.19,16.36,7.69
280,5.44,4.22,9.87,33.55,39.35
281,4.53,7.68,9.78,6,5.43
282,4.99,13.26,4.8,4.9,7.24
283,2.72,5.8,5.07,47,5.43
284,5.89,11.6,4.8,7.24,5.88
285,6.35,7.53,6.97,8.07,11.31
286,6.35,24.04,4.35,6.18,4.98
287,7.25,71.55,16.3,6.63,12.21
288,5.89,8.07,3.44,6.03,3.17
289,8.61,30.49,6.97,9.27,7.69
290,7.71,2.95,4.8,5.73,3.62
291,4.53,6.93,3.89,11.61,3.62
292,5.89,5.5,4.35,3.39,5.88
293,4.99,5.27,5.34,5.81,7.24
294,4.08,10.92,6.7,5.28,8.14
295,4.99,5.42,6.07,12.21,9.5
296,8.16,10.55,7.29,5.13,4.98
297,16.77,2.86,11.74,8.14,7.24
298,9.07,6.25,11.38,10.4,13.12
299,5.89,8.51,23.29,7.39,5.43
300,4.53,4.52,5.69,9.12,9.05
301,5.44,11.83,6.93,14.1,21.71
302,11.78,8.81,8.36,6.11,9.95
303,9.07,9.27,6.76,12.29,6.33
304,4.99,12.13,6.76,13.57,13.12
305,7.71,12.73,12.62,7.92,21.26
306,4.99,10.39,27.74,8.59,7.69
307,9.52,11.75,7.82,16.28,8.59
308,4.99,5.42,6.4,30.23,4.07
309,4.53,8.51,3.91,13.12,6.79
310,6.35,9.49,7.87,7.39,12.21
311,6.8,4.29,24.67,5.96,14.47
312,4.99,4.67,11.6,9.42,5.43
313,5.44,14.61,6,15.78,9.05
314,6.8,9.11,9.33,15.78,7.69
315,4.99,18.83,9.47,4.96,12.21
316,4.99,23.95,12.27,10.37,8.14
317,8.16,16.8,9.33,8.57,6.33
318,13.14,9.87,6.93,14.43,10.86
319,7.71,3.59,11.87,10.82,12.67
320,5.44,4.04,11.6,7.67,8.14
321,7.25,3.14,10.27,9.92,9.95
322,3.63,8.98,15.74,10.82,7.69
323,4.53,9.87,14.67,7.67,5.43
324,4.08,5.39,7.87,8.57,5.43
325,8.16,37.7,6.93,9.47,8.59
326,5.89,4.04,12.27,6.31,10.86
327,6.35,4.49,19.34,7.67,8.59
328,8.16,6.73,9.47,9.92,6.79
329,4.99,6.73,6.93,19.39,6.79
330,13.6,5.83,16.27,7.22,13.57
331,38.53,12.57,6.67,5.86,4.52
332,3.17,12.57,6.93,11.73,4.98
333,2.27,11.22,12,6.76,10.4
334,2.27,9.42,18.14,6.76,15.38
335,1.81,11.22,8.8,9.47,5.88
336,1.81,6.28,9.2,16.69,5.88
337,3.63,7.18,8.8,8.12,8.14
338,0.91,5.39,6.4,5.41,6.33
339,2.72,4.49,18.94,8.57,14.93
340,4.08,23.34,41.74,3.61,25.78
341,2.72,11.22,5.87,13.98,5.43
342,5.44,5.83,3.6,38.78,4.98
343,5.44,8.08,2.8,5.86,3.62
344,4.99,4.04,2.27,3.61,3.17
345,6.35,4.04,3.87,2.71,2.26
346,3.63,5.83,3.47,2.25,3.17
347,5.44,11.22,4.53,3.61,2.71
348,7.25,6.73,4.4,3.61,4.07
349,14.5,6.28,5.47,5.41,3.17
350,4.99,8.08,8.13,4.06,3.62
351,4.53,5.39,9.73,6.31,4.98
352,5.89,13.91,14.8,10.82,8.14
353,4.99,65.52,10.8,5.41,10.86
354,9.07,3.59,7.6,10.82,12.21
355,4.53,2.24,9.87,12.63,6.79
356,4.99,1.35,4.93,7.22,10.4
357,4.99,1.35,9.73,9.02,3.62
358,4.08,2.69,11.6,3.16,6.33
359,5.44,2.69,12.8,5.86,10.86
360,4.08,2.69,19.87,9.47,14.93
361,5.89,2.24,8.93,32.02,22.62
362,6.35,3.14,5.33,8.57,10.4
363,4.99,4.94,6.53,6.31,7.69
364,5.89,5.39,8.8,9.47,11.31
365,7.71,8.08,26.14,13.53,14.02
366,7.71,6.73,2.8,23,23.52
367,6.8,4.04,9.07,2.25,3.17
368,5.89,5.39,5.87,9.02,6.33
369,4.53,2.69,5.87,5.41,6.33
370,3.63,6.28,5.07,5.41,6.79
371,5.89,6.73,8,3.61,4.98
372,4.99,20.64,6.13,6.31,7.24
373,3.63,7.18,6.27,6.31,7.69
374,4.08,6.28,0,7.22,7.24
375,2.27,5.83,2.53,3.16,2.71
376,4.99,6.28,8.13,8.12,8.14
377,7.25,11.67,6.13,6.31,6.79
378,4.53,2.69,5.2,4.06,4.98
379,10.43,6.73,5.88,4.96,5.88
380,3.63,4.04,16.73,14.43,14.02
381,6.35,6.28,5.88,6.31,9.95
382,4.53,3.14,8.14,9.02,10.86
383,3.17,5.39,9.04,7.67,9.05
384,6.35,4.49,7.23,6.76,6.33
385,8.16,3.14,7.69,5.86,8.14
386,8.61,1.8,9.95,9.02,10.86
387,3.63,3.14,7.23,5.41,7.24
388,4.53,4.04,4.97,3.61,4.07
389,4.53,3.14,8.14,3.61,3.17
390,4.99,20.2,4.52,3.16,2.71
391,6.35,4.94,9.04,7.22,8.59
392,6.35,4.94,14.92,10.37,11.76
393,10.88,4.94,4.52,4.06,4.98
394,4.53,4.94,15.37,15.78,5.43
395,3.63,4.04,4.07,2.25,13.57
396,4.99,5.39,10.85,10.82,4.52
397,5.44,4.04,6.33,4.51,11.76
398,3.13,2.69,4.52,3.16,6.79
399,4.47,3.14,9.04,8.12,4.52
400,8.05,2.69,9.04,9.92,10.4
401,4.92,5.83,14.01,12.18,12.67
402,5.36,9.87,7.69,7.67,6.79
403,4.47,4.49,6.78,7.67,6.79
404,5.36,13.91,4.97,4.96,7.69
405,3.58,11.22,4.97,4.51,4.52
406,2.23,4.04,5.88,6.31,6.79
407,3.58,3.59,6.78,6.31,5.43
408,3.58,3.59,23.96,4.51,6.79
409,5.81,6.28,6.33,16.69,9.05
410,4.02,12.57,5.42,5.41,5.43
411,7.6,6.73,6.33,6.31,2.72
412,4.02,5.39,7.69,4.96,18.11
413,6.7,4.94,11.75,7.67,5.89
414,2.68,2.69,5.42,13.08,7.7
415,2.68,2.69,7.23,6.31,6.79
416,4.02,2.69,4.97,6.31,9.05
417,4.02,3.59,4.52,3.16,10.86
418,4.47,25.58,4.97,3.61,7.24
419,5.36,2.69,4.07,2.71,7.24
420,3.58,3.14,4.07,5.86,9.51
421,7.15,3.14,9.95,4.06,4.53
422,4.02,3.14,7.23,2.71,5.89
423,3.58,7.63,6.33,4.06,7.7
424,5.36,3.59,4.52,6.76,4.07
425,4.92,4.94,14.92,7.22,7.7
426,4.92,4.04,7.23,6.31,8.15
427,4.47,3.14,7.23,12.18,8.15
428,4.02,3.59,2.71,4.06,16.3
429,4.92,4.49,3.62,5.41,7.24
430,3.58,3.14,5.42,5.86,8.15
431,4.47,3.59,3.62,2.71,3.62
432,3.13,3.59,6.33,3.61,4.07
433,4.47,4.94,9.04,3.61,4.53
434,4.02,3.14,5.42,3.16,4.07
435,5.36,9.87,16.27,4.51,5.43
436,6.7,4.94,4.97,7.67,8.15
437,4.92,5.83,3.62,4.51,5.43
438,4.92,2.69,6.78,8.12,9.05
439,4.02,1.8,5.88,9.47,8.6
440,5.81,4.04,6.33,4.96,5.43
441,2.68,2.24,5.42,4.06,4.07
442,5.36,4.04,6.78,8.12,6.34
443,3.13,5.83,10.85,5.41,4.98
444,2.68,2.69,4.52,6.31,6.34
445,5.36,8.98,4.97,5.86,6.34
446,5.81,3.59,3.62,4.51,6.34
447,4.02,2.69,5.88,10.37,14.03
448,4.92,4.94,4.52,4.96,7.24
449,7.15,4.04,12.66,4.96,4.07
450,3.58,4.94,10.4,4.06,4.53
451,7.6,4.94,10.4,5.41,6.79
452,5.36,4.94,8.59,4.96,4.98
453,3.58,7.63,7.23,8.57,9.96
454,4.92,4.04,9.04,3.16,10.41
455,4.92,3.59,4.07,9.02,9.96
456,4.47,2.24,10.4,7.67,10.86
457,2.25,4.04,3.62,9.92,8.6
458,3.59,3.14,5.88,6.76,8.15
459,6.29,4.94,5.88,8.57,4.53
460,7.19,5.83,8.14,3.61,11.32
461,7.64,6.28,4.97,9.02,4.53
462,4.49,5.83,7.23,4.51,4.98
463,5.84,7.18,19.44,4.96,6.34
464,4.04,10.32,4.97,4.97,8.6
465,6.74,10.32,8.59,9.49,7.24
466,3.59,4.49,6.78,8.14,13.13
467,2.25,4.94,3.62,12.21,37.57
468,5.39,6.28,8.59,27.13,4.07
469,2.7,4.49,9.95,2.26,11.77
470,2.7,4.49,4.52,8.14,10.86
471,1.8,11.67,4.52,6.78,8.15
472,4.94,4.04,4.52,6.33,11.32
473,2.7,8.53,5.42,13.56,11.77
474,2.7,4.94,6.33,13.11,4.53
475,4.04,3.14,6.78,4.07,5.89
476,8.09,5.83,8.59,4.52,4.98
477,8.09,4.94,5.88,4.97,5.89
478,13.03,2.69,8.59,4.52,6.79
479,33.7,2.69,4.07,7.69,8.6
480,6.74,2.69,9.04,8.59,9.96
481,4.49,2.69,5.42,8.59,7.24
482,4.04,7.63,4.97,6.78,20.37
483,3.59,5.83,8.14,12.21,4.53
484,3.14,3.59,3.62,4.07,12.68
485,4.04,4.14,4.97,9.95,4.97
486,5.39,5.94,5.42,5.43,2.71
487,3.59,2.63,7.69,2.26,2.26
488,3.14,7.22,4.07,7.69,6.77
489,4.49,3.61,3.62,4.52,4.52
490,4.49,8.91,4.52,4.52,5.42
491,5.39,2.78,6.33,4.07,4.97
492,8.99,3.65,3.62,7.23,8.58
493,6.29,2.29,3.16,3.62,4.97
494,4.94,6.28,10.4,4.52,5.87
495,9.43,3.16,52.89,5.88,6.32
496,4.49,3.12,11.3,7.69,18.96
497,6.29,3.23,7.69,2.71,4.06
498,6.74,8.42,5.42,4.52,8.58
499,4.04,5.38,7.23,9.95,24.38
500,3.59,10.12,4.52,48.83,50.57
501,2.7,31.03,6.33,14.47,2.26
502,1.8,8.16,8.14,9.49,5.87
503,3.59,3.65,6.33,8.14,7.68
504,2.7,3.08,3.16,7.69,6.77
505,4.04,2.33,8.14,6.78,6.77
506,3.14,2.63,7.23,7.23,7.68
507,5.39,3.16,9.49,9.49,20.32
508,4.94,3.27,11.75,6.33,7.22
509,2.7,3.12,8.59,4.07,7.22
510,5.84,1.81,7.23,9.95,12.19
511,4.94,4.96,13.56,9.04,9.48
512,3.14,6.24,5.88,10.4,14
513,5.84,9.06,5.42,12.21,14
514,4.04,10.91,7.23,11.3,10.39
515,3.59,7.18,5.42,7.69,7.68
516,2.7,5.87,4.52,15.82,17.61
517,3.59,7.22,7.69,6.33,4.97
518,4.04,6.73,5.88,6.78,5.87
519,4.94,4.48,7.23,10.4,8.58
520,4.49,4.14,6.78,5.43,4.97
521,5.84,4.96,5.88,4.52,4.06
522,4.94,4.06,4.97,7.23,6.32
523,8.54,3.2,4.52,7.23,7.22
524,3.14,2.71,10.85,3.16,9.03
525,4.04,4.33,5.42,7.23,5.42
526,2.25,2.03,4.97,4.97,5.87
527,6.29,3.91,6.33,4.97,4.97
528,4.04,7.22,4.07,5.43,4.52
529,6.29,5.04,3.16,4.52,12.19
530,4.94,3.12,4.52,11.75,5.87
531,3.59,2.78,4.07,5.88,5.87
532,3.59,7.22,4.97,5.43,6.32
533,3.14,3.12,5.42,6.78,3.16
534,2.7,3.61,3.62,5.43,3.16
535,2.7,4.36,4.97,4.07,2.71
536,3.59,4.63,7.23,4.07,4.52
537,8.09,2.75,10.85,4.52,4.97
538,6.29,2.18,3.62,6.78,4.52
539,3.14,3.61,5.42,4.07,2.26
540,4.49,4.51,9.95,4.07,6.32
541,6.29,3.2,6.33,5.88,2.71
542,6.29,3.2,7.69,8.59,4.06
543,7.19,6.28,5.88,10.4,10.39
544,5.84,2.75,5.88,8.14,3.16
545,4.49,3.61,3.62,4.97,5.87
546,7.19,11.25,3.16,9.04,3.61
547,4.49,2.67,4.52,9.49,7.22
548,3.59,5.53,3.62,9.04,10.39
549,4.04,2.26,3.62,7.23,8.58
550,5.39,5.38,6.33,7.69,7.22
551,4.04,4.93,5.42,3.62,8.13
552,7.19,6.81,3.62,3.62,2.71
553,7.19,6.85,3.62,4.52,3.16
554,4.49,7.18,21.25,3.16,5.87
555,5.84,3.99,6.8,3.62,6.32
556,2.7,4.59,7.7,7.69,6.77
557,3.59,4.59,6.34,9.04,3.61
558,5.39,4.85,8.61,5.43,4.52
559,1.8,8.2,4.53,7.23,8.13
560,6.29,8.95,6.34,8.14,5.87
561,2.25,4.44,6.34,10.4,8.58
562,2.7,4.66,7.25,8.14,4.97
563,3.59,7.15,4.08,7.23,4.52
564,5.84,8.2,3.17,6.33,8.13
565,3.14,7.22,9.06,10.85,4.52
566,6.29,6.58,10.42,4.52,5.42
567,2.25,5.08,5.89,6.78,5.42
568,4.49,7.18,5.44,5.88,5.42
569,2.7,4.51,4.08,6.33,4.97
570,4.49,4.48,3.17,3.62,5.87
571,3.59,5.04,5.89,4.97,8.13
572,3.14,5.75,2.72,8.59,11.29
573,5.84,2.78,7.7,10.85,6.77
574,9.43,3.08,2.72,5.88,5.87
575,14.83,8.31,3.63,6.33,3.61
576,6.74,9.33,5.44,7.23,4.06
577,5.84,5,8.16,5.88,8.13
578,4.94,5.9,3.17,4.07,4.06
579,4.94,2.67,4.98,6.78,5.42
580,2.7,3.61,12.24,3.16,3.61
581,4.04,4.44,5.89,4.07,5.42
582,4.94,1.92,5.44,9.04,8.13
583,3.59,6.28,5.44,11.75,9.03
584,3.59,2.33,6.8,9.95,3.61
585,3.59,3.57,4.53,16.73,5.42
586,3.59,3.69,4.08,4.52,12.64
587,7.19,7.52,6.34,7.23,4.52
588,3.14,4.51,8.61,6.33,6.77
589,4.04,9.03,43.96,7.23,9.03
590,3.59,2.78,11.33,4.97,5.87
591,4.94,6.77,4.98,5.88,4.97
592,4.49,4.44,5.89,9.49,4.97
593,4.04,4.55,6.34,6.78,8.58
594,4.49,2.78,5.89,8.51,4.52
595,7.64,2.71,7.7,4.03,5.42
596,4.49,4.51,4.98,41.63,42.44
597,4.49,6.73,5.89,11.64,12.19
598,5.39,23.43,6.8,4.48,4.97
599,2.25,8.12,4.98,5.37,6.77
600,6.29,3.99,7.7,5.82,6.32
601,4.04,5.12,8.61,4.48,5.87
602,4.94,4.93,5.89,9.4,7.22
603,3.59,4.06,3.63,4.92,4.97
604,4.94,6.32,3.63,10.3,9.48
605,5.39,4.81,6.34,4.48,2.71
606,10.33,4.21,3.63,7.16,7.22
607,5.39,5,5.89,8.06,7.22
608,4.49,3.61,5.89,4.48,4.52
609,5.39,8.09,11.78,3.58,4.06
610,8.09,5.9,14.95,4.03,3.16
611,4.94,5.34,5.44,4.48,4.52
612,4.04,3.65,7.7,4.48,5.42
613,6.29,2.75,4.98,4.92,4.97
614,4.94,3.99,5.89,5.82,5.42
615,7.64,3.27,4.53,10.74,9.03
616,7.19,3.57,6.34,12.09,12.19
617,3.14,4.02,4.53,5.82,6.32
618,5.39,8.09,4.98,7.61,7.68
619,3.59,6.92,10.88,5.82,4.97
620,5.84,3.35,21.75,4.48,8.13
621,4.49,4.66,6.34,2.69,4.06
622,5.39,3.08,4.98,5.37,6.77
623,6.29,4.51,5.89,3.58,4.06
624,4.49,4.17,4.98,4.03,5.42
625,4.04,4.1,4.53,10.3,6.32
626,2.7,3.08,4.08,22.38,21.67
627,5.39,4.44,5.89,5.82,6.32
628,4.49,6.36,7.7,4.48,4.97
629,6.74,15.42,4.53,5.37,6.32
630,9.43,4.96,3.17,13.43,14.45
631,5.39,4.02,6.34,4.92,6.32
632,5.84,5.83,16.31,4.92,7.22
633,7.19,8.58,12.24,3.13,4.97
634,3.14,3.69,4.53,3.13,2.26
635,4.04,3.12,7.7,2.69,5.87
636,3.59,1.77,4.08,4.92,9.93
637,4.94,3.65,7.7,10.3,14.9
638,9.88,3.23,5.44,2.24,5.87
639,4.49,3.08,6.8,11.19,5.42
640,7.64,9.93,4.53,4.48,4.97
641,4.04,13.05,8.16,5.37,4.97
642,5.84,2.71,5.89,3.13,6.32
643,8.09,5.42,6.8,7.61,7.68
644,3.59,2.33,5.44,5.37,10.84
645,2.7,5,4.53,5.37,5.87
646,3.14,4.14,9.06,9.85,4.52
647,5.39,5.15,10.42,5.82,3.61
648,4.94,15.04,10.42,4.03,3.61
649,3.14,5.38,5.44,3.58,7.22
650,4.94,4.06,9.97,4.48,6.77
651,4.49,3.23,14.95,8.06,8.13
652,4.49,3.57,7.25,7.16,23.93
653,7.19,5.34,4.53,8.06,5.47
654,5.39,6.39,5.44,7.16,5.01
