AGE BP,Site 2,Site 3 ,Site 4,Site 20 ,Site 21
22,3.16,5.11,8.34,8.29,8.28
23,4.06,6.38,7.67,6.48,6.02
22,3.61,6.68,11.91,13.42,15.05
23,4.52,7.81,10.59,12.36,12.49
24,5.87,4.43,6.62,7.54,6.92
25,3.16,5.03,6.35,10.25,6.02
26,4.06,8.86,10.85,24.43,10.53
27,9.48,5.48,7.94,9.05,9.63
28,3.61,5.18,7.81,4.37,6.47
29,4.52,5.03,5.95,6.48,6.77
30,3.16,6.46,7.67,49,9.33
31,4.97,98.09,50.81,7.69,43.18
32,24.83,6.01,5.82,15.08,24.98
33,4.52,4.43,13.23,7.99,20.46
34,8.13,1.65,8.73,14.33,9.48
35,5.87,1.95,12.17,13.72,11.59
36,5.87,1.73,10.98,11.91,5.72
37,6.32,1.88,11.12,6.64,5.27
38,6.32,2.93,3.57,16.44,5.98
39,2.71,3.23,12.57,7.09,8.69
40,5.42,4.21,7.81,6.79,9.14
41,3.16,3.61,6.22,7.39,6.66
42,2.71,3.76,4.9,6.79,4.85
43,3.16,2.85,7.41,3.17,11.06
44,5.42,4.96,6.62,4.98,20.54
45,2.71,5.78,4.76,5.43,7.9
46,2.71,5.63,7.41,7.54,33.18
47,3.16,2.7,15.88,16.89,2.83
48,5.87,3.3,4.77,9.05,4.07
49,4.97,2.93,7.53,39.66,5.2
50,3.61,8.64,30.49,3.77,35.41
51,14,39.43,4.6,5.73,15.16
52,2.71,3.3,4.3,6.94,11.54
53,4.06,3.76,1.7,26.54,6.56
54,2.71,3.98,14.39,23.98,12.81
55,11.74,11.94,27.58,10.86,19.35
56,9.93,3.23,14.59,20.96,8.37
57,6.32,15.62,11.36,20.81,5.32
58,7.68,6.38,16.32,8.29,5.54
59,9.03,2.1,8.46,8.6,8.03
60,3.61,4.58,5.66,9.5,11.77
61,3.16,6.76,12.66,11.76,6.11
62,3.61,8.19,9.59,4.83,5.77
63,4.52,7.89,4.4,4.37,5.54
64,2.71,4.73,6.46,5.13,10.07
65,3.16,4.28,29.91,6.64,7.01
66,4.06,4.51,4.46,6.18,5.54
67,4.52,6.08,3.6,7.54,5.09
68,2.26,2.7,6.39,18.06,5.09
69,2.71,3.15,13.52,6.77,22.37
70,6.32,4.96,5.73,42.3,33.55
71,4.52,6.23,17.45,6.62,8.13
72,11.29,2.4,11.52,15.5,13.22
73,6.32,6.91,22.12,16.71,10.84
74,5.87,4.41,18.72,9.48,9.66
75,9.03,4.41,6.06,7.53,10.34
76,4.97,7.94,6.26,9.18,17.28
77,6.32,7.94,10.79,8.43,18.13
78,4.06,22.49,20.78,13.4,4.91
